Title,,,Catagory,Developer / Publisher,Product ,March
,,,,,Number,Selling Price
,,,,,,
,PC Games,,,,,
,,,,,,
1,,11th Hour,puzzle suspense,Triobyte,11T00CDI, $69.00 
2,,3D Virtual Pool,arcade,,3DP00CDI, $105.00 
3,,Advanced Tactical Fighters (ATF),air combat flight sim,Jane's Combat,507338, $95.00 
4,,AH-64D Longbow,helo combat flight sim,Jane's Combat,5010067, $95.00 
5,,Alien Trilogy,first person shooter,Acclaim,CD0094, $99.00 
6,,Alone in the Dark Trilogy,isometric adventure,,ALO01CDI, $99.00 
7,,Archimedian Dynasty,,Blue Byte,596111, $119.00 
8,,Area 51,,,CD20686, $99.00 
9,,Armoured Fist 2.0,tank sim,Nova Logic,509209, $95.00 
10,,Babylon 5 - Entertainment Utility,,,8140108, $79.00 
11,,Bad Mojo,become a 'roach,Pulse Entertainment,, coming soon 
12,,Bedlam,srategy action conquest sim,GT Interactive,CD20687, $99.00 
13,,Betrayal at Antara,fantasy adventure,Sierra,596156, $115.00 
14,,Birth Right,Dungeon and Dragons,Sierra,596160, $115.00 
15,,Blue Ice ,,Psygnosis,500150, $109.00 
16,,Broken Sword,animated interactive walk through,Revolution,BRO00CDI, $99.00 
17,,Caesars II,Roman conquest & civiliation sim,Sierra,596336, $115.00 
18,,Civilisation,civilisation sim,Microprose,CIV02CDI, $29.00 
19,,Civilisation II,civilisation sim - updated remake\sequel,Microprose,CIV01CDI, $79.00 
20,,Civilisation II Collectors,civilisation sim,Microprose,CIV03CDI, $119.00 
21,,"Civilisation II Scenario Disk - ""Conflicts in Civilisation""",add-on with 20 new scenarios,Microprose,CIVO4CDI, $45.00 
22,,Comanche 3.0,helo combat flight sim,Nova Logic,500139, $95.00 
23,,Command & Conquer,srategy action conquest sim,Westwood,COM05CDI, $85.00 
24,,Command & Conquer Collection,"featuring C&C, Dune 2, music CD",Westwood,COM08CDI, $109.00 
25,,Command & Conquer Covert Operations,add-on with 15 new missions,,RED02CDI, $35.00 
26,,Command & Conquer Gold Edition for Win '95,"Net play, improved graphics, screen savers etc",Westwood,, April '97 
27,,Command & Conquer Red Alert,srategy action conquest sim,Westwood,RED02CDI, $119.00 
28,,Creature Shock,fully rendered first person walk through,Argonaut Software,CRE00CDI, $85.00 
29,,Creatures,life simulator,Warner Interactive,CRE02CDI, $85.00 
30,,Cricket '97,sports sim,EA. Sport,500144, $95.00 
31,,"Crusader ""No Regret""",isometric shooter adventure,Origin,5010135, $95.00 
32,,"Crusader ""No Remorse""",isometric shooter adventure,Origin,I1197, $55.00 
33,,"Cyberia 2 - ""Resurrection""",arcade plus rendered cut scenes,Xatrix Entertainment,CYB02CDI, $124.00 
34,,D,,,,  coming soon 
35,,Daggerfall: The Elder Scrolls,first person fantasy adventure,Bethesda Softworks,DAG01CDI, $115.00 
36,,Dark Forces,first person shooter (Doom clone),Lucas Arts,597461, $95.00 
37,,Deadlock,planetary conquest sim,Accolade,DEA01CDI, $99.00 
38,,Deadly Tide,submarine combat sim,Microsoft,MST7974, $95.00 
39,,Defcon 5,,,CD20647, $65.00 
40,,Destruction Derby,car demolition \ racing sports sim,,500162, $65.00 
41,,Diablo,isometric fantasy adventure,Blizzard,2859088, $105.00 
42,,Die Hard Trilogy,arcade action,Fox Interactive,500118, $95.00 
43,,Dinotopia,"based on Childrens Book ""Dinotopia""",,CD20596, $89.00 
44,,Doom II Screen Saver,screen saver,ID Software,CD20377, $55.00 
45,,Duke Nukem 3D,first person shooter,3D Realms & Appogee,, $95.00 
46,,Duke Nukem 3D Plutonium Pak,add-on,3D Realms & Appogee,CD20728, $55.00 
47,,Dungeon Keeper,reversed dungeon conquest,Bullfrog,507624, $95.00 
48,,Ecstatica,,,500159, $65.00 
49,,Ecstatica 2,,Psygnosis,500154, $109.00 
50,,EF 2000 Evolution + Tactcom,air combat flight sim,Ocean \ DID,CD0299, $95.00 
51,,EF 2000 Super ,air combat flight sim,Ocean \ DID,CD0296, $95.00 
52,,F22 Lightening,air combat flight sim,Nova Logic,500136, $95.00 
53,,Fade to Black,,,I1327, $29.00 
54,,Fire Fight Win '95 Native,arcade isometric shooter action flyer,,507691, $95.00 
55,,Flight Simulator 6.0 Win '95,flight sim,Microsoft,MST9020, $95.00 
56,,Flight Simulator Scenery 1.00 MS-Dos,"Carribean, Hawaii & Japan",Microsoft,MST9015, $40.00 
57,,Flight Unlimited Win '95 Native,flight sim,,500143, $95.00 
58,,Flying Corps,WW I aerial combat flight sim,Empire,, $124.00 
59,,Formula 1,car racing sports sim,,500153, $109.00 
60,,Gabriel Knight 2,mystery suspense,Sierra,596202, $124.00 
61,,Gene Wars,arcade action,Bullfrog,507595, $95.00 
62,,Goosebumps 1.0 Win '95,,Microsoft,MST7822, $95.00 
63,,HellBender Win '95,,Microsoft,MST796, $95.00 
64,,Heretic !  Shadow Serpent,first person action shooter (Doom clone),,CD20534, $119.00 
65,,Hexen,first person action shooter (Doom clone),Ravensoft,CD20436, $79.00 
66,,Hexen: Death of Kings,first person action shooter (Doom clone),Ravensoft,CD20538, $79.00 
67,,Hoyle: Casino Collection,card & board,Sierra,596305, $95.00 
69,,Independence Day,aerial combat flight sim,Fox Interactive,, April '97 
70,,Indianapolis 500,sports sim,,CD00255, $35.00 
71,,Indy Car Racing 2,,Papyrus,IND03CDI, $79.00 
72,,Jedi Knight (Dark Forces II),first person shooter (Doom clone),Lucas Arts,596382, $119.00 
73,,Krazy Ivan,,,500152, $109.00 
74,,Krush Kill 'N' Destroy (KK'N'D),strategy sim,Melbourne House,500138, $95.00 
75,,Legends of Kyrandia,fantasy adventure,,CD00269, $35.00 
76,,Leisure Suit Larry 7,arcade humour,Sierra,596157, $115.00 
77,,Leisure Suit Larry Collection ,"featuring Leisure Suit Larry 1,2,3,4,5 & 6",Sierra,596281, $85.00 
78,,LHX Attack Chopper,helo combat flight sim,,CD0270, $35.00 
79,,Lighthouse,Myst-alike,Sierra,596132, $115.00 
80,,Lode Runner (Network),classic arcade ,Sierra,596201, $89.00 
81,,LucasArts Archives 2: Star Wars Collection,"Rebel Assault 1 & 2, Tie Fighter, Dark Forces",Lucas Arts,596384, $119.00 
82,,Madden NFL '97,sports sim,EA. Sport,507727, $95.00 
83,,Magic Carpet 2,flying game,,MAG05CDI, $65.00 
84,,Monopoly,board game,,2440101, $85.00 
85,,Monty Python & the Quest for the Holy Grail,humour,7th Level,8447107, $119.00 
86,,Mortal Combat III,arcade fighting,Williams,CD20537, $99.00 
87,,Myst with strategy guide,mystery suspense,,1050721, $105.00 
88,,NBA Live '97,sports sim,EA. Sport,507732, $95.00 
89,,Need for Speed 2,car racing sports sim,,, April '97 
90,,Outpost 2,space colonisation \ planetary conquest sim,Sierra,596149, $115.00 
91,,Pandora Directive,adventure suspense,,PAN01CDI, $115.00 
92,,Perfect Assassin,,Grolier Interactive,, coming soon 
93,,"Phantasmagoria 2 - ""A Puzzle of Flesh""",adventure mystery horror,Sierra,596335, $119.00 
94,,Primal Rage,arcade fighting,Time Warner,PRI05CDI, $79.00 
95,,Privateer,space commerce & adventure,Origin,IC1241, $29.00 
96,,"Privateer 2 - ""The Darkening""",space commerce & adventure with cut scenes,Origin,5010134, $95.00 
97,,Quake,first person shooter (Doom clone),ID Software,CD20548, $99.00 
98,,Rama,,Sierra,596048, $115.00 
99,,Rebel Assault 2,arcade shooter with cut scenes,Lucas Arts,, $95.00 
100,,Risk,board game,,2440109, $85.00 
101,,Road Rash Win '95 Native,arcade,EA.,507647, $95.00 
102,,Robotron X,updated arcade,,CD20691, $95.00 
103,,Settlers II,colonisation sim,Blue Byte,596118, $115.00 
104,,Shiver  Win,,,596225, $79.00 
105,,Sim Copter Win '95 Native,helo flight sim,,500146, $115.00 
106,,Simpsons Screen Saver,screen saver,Fox Interactive,A964118, $69.00 
107,,SkyNet,first person shooter (precision Doom clone),Bethesda Softworks,, $115.00 
